Strain,,Library
NIC231,,RET4
NIC4,,RET4
QG557,,RET4
QX1212,,RET4
QX1233,,RET4
QX2267,,RET4
WN2014,,RET4
CB4851_UK,,RET5
CB4855_CGC,,RET5
CX11264,,RET5
CX11307,,RET5
ED3005,,RET5
ED3052,,RET5
EG4724,,RET5
JU1213,,RET5
JU1409,,RET5
JU1568,,RET5
JU311,,RET5
JU397,,RET5
JU751,,RET5
KR314,,RET5
NIC166,,RET5
NIC195,,RET5
NIC237,,RET5
QG536,,RET5
QX1213,,RET5
QX2265,,RET5
RC301,,RET5
WN2002,,RET5
WN2011,,RET5
WN2018,,RET5
CB4853_CGC,,RET6
CB4857_UK,,RET6
CX11262,,RET6
ED3012,,RET6
EG4349,,RET6
GXW1,,RET6
JU1212,,RET6
JU1395,,RET6
JU1440,,RET6
JU1581,,RET6
JU2001,,RET6
JU393,,RET6
JU406,,RET6
JU792,,RET6
N2_HRH,,RET6
NIC199,,RET6
NIC236,,RET6
PB303,,RET6
PX179,,RET6
QG538,,RET6
QX1214,,RET6
QX2266,,RET6
WN2001,,RET6
WN2017,,RET6
CB4854,,RET7
CB4932,,RET7
CX11271,,RET7
ED3040,,RET7
ED3077,,RET7
EG4946,,RET7
JU1530,,RET7
JU1652,,RET7
JU323,,RET7
JU367,,RET7
JU561,,RET7
JU774,,RET7
JU847,,RET7
MY18,,RET7
NIC200,,RET7
PS2025,,RET7
QG537,,RET7
QG558,,RET7
QX1216,,RET7
WN2010,,RET7
WN2013,,RET7
WN2016,,RET7
WN2019,,RET7
WN2020,,RET7
NIC4,,RET4
NIC198,,RET4
NIC231,,RET4
QG557,,RET4
DL200,,RET4
JU1896,,RET4
LSJ1,,RET4
ED3073,,RET4
JU1400,,RET4
QX1212,,RET4
JU397,,RET5
QX2265,,RET5
ED3052,,RET5
WN2018,,RET5
KR314,,RET5
WN2011,,RET5
QG536,,RET5
CB4855_CGC,,RET5
NIC199,,RET6
NIC236,,RET6
JU1212,,RET6
JU1395,,RET6
JU1440,,RET6
JU792,,RET6
ED3012,,RET6
CB4853_CGC,,RET6
CX11262,,RET6
PX179,,RET6
QX1214,,RET6
EG4349,,RET6
WN2001,,RET6
GXW1,,RET6
JU406,,RET6
QX2266,,RET6
PB303,,RET6
JU2001,,RET6
QG538,,RET6
N2_HRH,,RET6
JU1581,,RET6
JU393,,RET6
CB4857_UK,,RET6
WN2017,,RET6
NIC200,,RET7
QG558,,RET7
CX11271,,RET7
EG4946,,RET7
JU847,,RET7
CB4854,,RET7
ED3040,,RET7
JU774,,RET7
JU323,,RET7
ED3077,,RET7
PS2025,,RET7
MY18,,RET7
JU367,,RET7
CB4932,,RET7
JU1530,,RET7
QX1216,,RET7
JU561,,RET7
QG537,,RET7
JU1652,,RET7
WN2020,,RET7
WN2010,,RET7
WN2013,,RET7
WN2019,,RET7
WN2016,,RET7
AF16,,RET1a
CB4856_CGC,,RET1a
DL238,,RET1a
HK104,,RET1a
JU258,,RET1a
MY23,,RET1a
N2_CGC,,RET1a
QX1430,,RET1a
CB4852,,RET1b
CB4857_CGC,,RET1b
CX11315,,RET1b
ED3049,,RET1b
JU1580,,RET1b
JU360,,RET1b
JU778,,RET1b
NIC232,,RET1b
QG557,,RET1b
WN2021,,RET1b
AB4,,RET2a
CX11285,,RET2a
ED3017,,RET2a
EG4725,,RET2a
JT11398,,RET2a
JU1200,,RET2a
JU775,,RET2a
JU782,,RET2a
MY16,,RET2a
NIC2,,RET2a
PB306,,RET2a
QG556,,RET2a
AB1,,RET2b
CX11276,,RET2b
DL226,,RET2b
ED3046,,RET2b
JU346,,RET2b
JU363,,RET2b
MY1,,RET2b
NIC196,,RET2b
QX1791,,RET2b
QX1792,,RET2b
QX1793,,RET2b
QX1794,,RET2b
CB4853_UK,,RET3a
ED3011,,RET3a
EG4347,,RET3a
JU1491,,RET3a
JU1586,,RET3a
JU830,,RET3a
LKC34,,RET3a
NIC1,,RET3a
NIC197,,RET3a
NIC207,,RET3a
NIC3,,RET3a
QX1211,,RET3a
CB4851_CGC,,RET3b
CB4858_UK,,RET3b
CX11254,,RET3b
CX11314,,RET3b
JU1088,,RET3b
JU1246,,RET3b
JU2007,,RET3b
JU315,,RET3b
JU440,,RET3b
MY10,,RET3b
QX1215,,RET3b
QX2268,,RET3b
CB4852,,RET4a
DL200,,RET4a
ED3048,,RET4a
ED3073,,RET4a
JU1400,,RET4a
JU1896,,RET4a
LSJ1,,RET4a
NIC198,,RET4a
NIC231,,RET4a
NIC4,,RET4a
QG557,,RET4a
QX1212,,RET4a
CB4855_UK,,RET4b
CB4858_CGC,,RET4b
CX11292,,RET4b
JU1172,,RET4b
JU1242,,RET4b
JU1516,,RET4b
JU310,,RET4b
JU394,,RET4b
JU642,,RET4b
QX1233,,RET4b
QX2267,,RET4b
WN2014,,RET4b
CX11264,,RET5a
CX11307,,RET5a
ED3005,,RET5a
EG4724,,RET5a
JU1213,,RET5a
JU1409,,RET5a
JU1568,,RET5a
JU751,,RET5a
NIC166,,RET5a
NIC195,,RET5a
NIC237,,RET5a
RC301,,RET5a
CB4851_UK,,RET5b
CB4855_CGC,,RET5b
ED3052,,RET5b
JU311,,RET5b
JU397,,RET5b
KR314,,RET5b
QG536,,RET5b
QX1213,,RET5b
QX2265,,RET5b
WN2002,,RET5b
WN2011,,RET5b
WN2018,,RET5b
CB4853_CGC,,RET6a
CX11262,,RET6a
ED3012,,RET6a
EG4349,,RET6a
JU1212,,RET6a
JU1395,,RET6a
JU1440,,RET6a
JU792,,RET6a
NIC199,,RET6a
NIC236,,RET6a
PX179,,RET6a
QX1214,,RET6a
CB4857_UK,,RET6b
GXW1,,RET6b
JU1581,,RET6b
JU2001,,RET6b
JU393,,RET6b
JU406,,RET6b
N2_HRH,,RET6b
PB303,,RET6b
QG538,,RET6b
QX2266,,RET6b
WN2001,,RET6b
WN2017,,RET6b
CB4854,,RET7a
CX11271,,RET7a
ED3040,,RET7a
ED3077,,RET7a
EG4946,,RET7a
JU323,,RET7a
JU774,,RET7a
JU847,,RET7a
MY18,,RET7a
NIC200,,RET7a
PS2025,,RET7a
QG558,,RET7a
CB4932,,RET7b
JU1530,,RET7b
JU1652,,RET7b
JU367,,RET7b
JU561,,RET7b
QG537,,RET7b
QX1216,,RET7b
WN2010,,RET7b
WN2013,,RET7b
WN2016,,RET7b
WN2019,,RET7b
WN2020,,RET7b
AF16,,P
CB4856_CGC,,P
DL238,,P
HK104,,P
JU258,,P
MY23,,P
N2_CGC,,P
QX1430,,P
,,
,,
